,star,ra,dec,comment,ra_deg,dec_deg,MAIN_ID,RA_2_A_ICRS_J2017_5_2000,DEC_2_D_ICRS_2017_5_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,FLUX_I,FLUX_H,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,S_Type
78,eps Eri ,03:32:55.8 ,-09:27:29.7 ,H-coron (~1 hr); H-coron-pol,53.2325,-9.45825,b'* eps Eri',03 32 54.6915,-09 27 29.731,3.2028,,pc,-0.0047,0.0047,paral,2018yCat.1345....0G,480000.0,,km,,,,2007ApJ...660.1556R,2.5399999618530273,1.75,4999,4.53000020980835,,,b'',,2003AJ....125.1598L,K2V
79,HIP 16846 ,03:36:47.3 ,00:35:15.9 ,H-coron (~1 hr),54.1970833333333,0.58775,b'HD  22468',03 36 47.2527,+00 35 15.938,29.6272,,pc,-0.076,0.076,paral,2018yCat.1345....0G,2920000.0,,km,,V,,2009A&ARv..17..251S,5.0,3.25,4781,,,,b'SUN',,2011A&A...530A.138C,K2:Vnk
80,HIP 17157 ,03:40:29.4 ,-47:55:31.0 ,H-coron (~1 hr),55.1225,-47.925277777777794,b'CD-48  1042',03 40 29.5455,-47 55 30.550,25.6177,,pc,-0.0244,0.0244,paral,2018yCat.1345....0G,,,,,,,,,6.5229997634887695,0,,,,b'',,,K7V
81,HIP 17338 ,03:42:39.8 ,-20:32:43.8 ,H-coron (~1 hr); H-coron-pol,55.6658333333333,-20.5455,b'HD  23208',03 42 39.8089,-20 32 43.628,56.7966,,pc,-0.1323,0.1323,paral,2018yCat.1345....0G,,,,,,,,8.23799991607666,7.304999828338623,5263,,,,b'SUN',,2011A&A...530A.138C,G8V
82,HIP 17395 ,03:43:33.8 ,-10:29:08.2 ,H-coron (~1 hr); H-coron-pol,55.890833333333305,-10.4856111111111,b'HD  23281',03 43 33.8249,-10 29 08.360,41.8111,,pc,-0.2152,0.2152,paral,2018yCat.1345....0G,,,,,,,,5.300000190734863,5.165999889373779,0,,,,b'',,,A5III-IV
83,HIP 17695 ,03:47:23.3 ,-01:58:19.9 ,H-coron (~1 hr),56.8470833333333,-1.97219444444444,b'G  80-21',03 47 23.5521,-01 58 19.945,16.8022,,pc,-0.016,0.016,paral,2018yCat.1345....0G,,,,,,,,9.097999572753906,7.173999786376953,3584,,0.05000000074505806,,b'SUN',,2014MNRAS.443.2561G,M3.0V
84,HIP 17764 ,03:48:11.3 ,-74:41:39.1 ,H-coron (~1 hr); H-coron-pol,57.047083333333305,-74.6941944444444,b'HD  24636',03 48 11.7519,-74 41 38.817,57.0545,,pc,-0.0729,0.0729,paral,2018yCat.1345....0G,,,,,,,,,6.223999977111816,6776,,,,b'SUN',,2011A&A...530A.138C,F3IV/V
85,HD 24071 ,03:48:35.4 ,-37:37:19.2 ,H-coron (~1 hr),57.1475,-37.622,b'HD  24071',03 48 35.5710,-37 37 19.203,52.6368,,pc,-0.3325,0.3325,paral,2018yCat.1345....0G,,,,,,,,,5.366000175476074,0,,,,b'',,,A1Va
86,HR 1190 ,03:48:35.8 ,-37:37:12.5 ,H-coron (~1 hr),57.1491666666667,-37.620138888888896,b'HD  24072',03 48 35.9934,-37 37 12.543,52.6995,,pc,-0.4793,0.4793,paral,2018yCat.1345....0G,,,,,,,,,4.630000114440918,10046,,,,b'SUN',,2012A&A...537A.120Z,B9.5Van
87,HD 24224 ,03:48:47.3 ,-53:10:56.2 ,H-coron (~1 hr),57.1970833333333,-53.1822777777778,b'HD  24224',03 48 47.1913,-53 10 56.298,52.4554,,pc,-0.1596,0.1596,paral,2018yCat.1345....0G,,,,,,,,,6.8379998207092285,5844,,,,b'SUN',,2006A&A...450..735M,G4V
88,HIP 18512 ,03:57:28.7 ,-01:09:34.1 ,H-coron (~1 hr),59.3695833333333,-1.15947222222222,b'HD  24916',03 57 28.4823,-01 09 34.071,15.301,,pc,-0.0107,0.0107,paral,2018yCat.1345....0G,,,,,,,,6.723999977111816,5.486000061035156,4696,4.5,-0.11999999731779099,,b'',,2018MNRAS.479.1332M,K4V
89,HIP 18714 ,04:00:31.9 ,-41:44:54.2 ,H-coron (~1 hr),60.132916666666695,-41.7483888888889,b'HD  25402',04 00 32.0938,-41 44 54.412,,,,,,,,,,,,,,,,,5813,,,,b'SUN',,2011A&A...530A.138C,G3V
90,HD 25457 ,04:02:36.7 ,-00:16:08.1 ,H-coron (~1 hr),60.6529166666667,-0.26891666666666697,b'HD  25457',04 02 36.9191,-00 16 08.118,18.7712,,pc,-0.0408,0.0408,paral,2018yCat.1345....0G,828000.0,,km,,,,2007ApJ...660.1556R,,4.3420000076293945,6403,,,,b'SUN',,2006A&A...450..735M,F7/8V
91,HD 25570 ,04:03:56.6 ,08:11:50.1 ,H-coron (~1 hr); H-coron-pol,60.985833333333304,8.19725,b'HD  25570',04 03 56.7964,+08 11 50.157,34.8476,,pc,-0.1648,0.1648,paral,2018yCat.1345....0G,1270000.0,,km,,,,2007ApJ...660.1556R,5.099999904632568,4.576000213623047,6823,,,,b'SUN',,2006A&A...450..735M,F2Vs
92,HIP 19076 ,04:05:20.3 ,22:00:32.0 ,H-coron (~1 hr),61.3345833333333,22.008888888888897,b'*  39 Tau',04 05 20.4747,+22 00 32.055,16.8949,,pc,-0.0204,0.0204,paral,2018yCat.1345....0G,,,,,,,,5.199999809265137,4.499000072479248,5912,4.570000171661377,0.019999999552965164,,b'SUN',,2006AJ....131.3069L,G5V
93,HIP 19183 ,04:06:41.5 ,01:41:02.9 ,H-coron (~1 hr),61.6729166666667,1.6841388888888897,b'HD  25953',04 06 41.5760,+01 41 02.078,56.9655,,pc,-0.1454,0.1454,paral,2018yCat.1345....0G,,,,,,,,,6.695000171661377,6320,,,,b'SUN',,2011A&A...530A.138C,F6V
94,HD 26980 ,04:14:22.5 ,-38:19:01.5 ,H-coron (~1 hr),63.59375,-38.317083333333294,b'HD  26980',04 14 22.6310,-38 19 01.572,79.7315,,pc,-0.1449,0.1449,paral,2018yCat.1345....0G,,,,,,,,8.397000312805176,7.701000213623047,5801,,,,b'SUN',,2011A&A...530A.138C,G3V
95,HIP 19855 ,04:15:25.8 ,06:11:58.7 ,H-coron (~1 hr),63.8575,6.19963888888889,b'HD  26913',04 15 25.6677,+06 11 58.749,22.1041,,pc,-0.0219,0.0219,paral,2018yCat.1345....0G,,,,,,,,6.195000171661377,5.455999851226807,5656,4.5,-0.03999999910593033,,b'SUN',,2012A&A...547A.106M,G8V
96,HD 26923 ,04:15:28.8 ,06:11:12.7 ,H-coron (~1 hr),63.87,6.18686111111111,b'HD  26923',04 15 28.6717,+06 11 12.699,22.0869,,pc,-0.0264,0.0264,paral,2018yCat.1345....0G,,,,,,,,5.699999809265137,5.01200008392334,5999,4.449999809265137,,,b'',,2003AJ....125.1598L,G0IV
97,gam Dor ,04:16:01.6 ,-51:29:11.9 ,H-coron (~1 hr); H-coron-pol,64.0066666666667,-51.486638888888905,b'* gam Dor',04 16 01.7745,-51 29 11.919,20.4506,,pc,-0.1178,0.1178,paral,2018yCat.1345....0G,1150000.0,,km,,,,2007ApJ...660.1556R,,3.4690001010894775,7060,3.9700000286102295,,,b'',,2003AJ....125.1598L,F1V
98,HIP 19990 ,04:17:15.7 ,20:34:43.5 ,H-coron (~1 hr),64.31541666666669,20.57875,b'* ome02 Tau',04 17 15.6106,+20 34 42.949,29.3125,,pc,-0.1723,0.1723,paral,2018yCat.1345....0G,,,,,,,,,4.577000141143799,7541,,,,b'SUN',,2006A&A...450..735M,A3m
99,HIP 20737 ,04:26:38.6 ,-28:57:06.5 ,H-coron (~1 hr); H-coron-pol,66.6608333333333,-28.9518055555556,b'HD  28287',04 26 38.6534,-28 57 07.268,35.6447,,pc,-0.0393,0.0393,paral,2018yCat.1345....0G,,,,,,,,7.920000076293945,6.872000217437744,5028,4.550000190734863,,,b'',,2003AJ....125.1598L,G9.5Vk:
100,51 Eri ,04:37:36.1 ,-02:28:24.8 ,H-coron (~4 hr); Y-coron (~4 hr); J-coron (~4 hr); K1-coron (~4 hr); K2-coron (~6 hr); J-POL (~4 hr),69.4004166666667,-2.47355555555556,b'* c Eri',04 37 36.1841,-02 28 24.778,29.7823,,pc,-0.12,0.12,paral,2018yCat.1345....0G,,,,,,,,,4.769999980926514,7295,,,,b'SUN',,2012A&A...537A.120Z,F0IV
100,51 Eri ,04:37:36.1 ,-02:28:24.8 ,H-coron (~4 hr); Y-coron (~4 hr); J-coron (~4 hr); K1-coron (~4 hr); K2-coron (~6 hr); J-POL (~4 hr),69.4004166666667,-2.47355555555556,b'* c Eri',04 37 36.1841,-02 28 24.778,29.7823,,pc,-0.12,0.12,paral,2018yCat.1345....0G,,,,,,,,,4.769999980926514,7295,,,,b'SUN',,2012A&A...537A.120Z,F0IV
101,HIP 21632 ,04:38:43.9 ,-27:02:01.7 ,H-coron (~1 hr),69.6829166666667,-27.033805555555602,b'HD  29615',04 38 44.0157,-27 02 01.805,54.5099,,pc,-0.0841,0.0841,paral,2018yCat.1345....0G,,,,,,,,7.789999961853027,6.96999979019165,0,,,,b'',,,G3V
102,HD 29697 ,04:41:18.8 ,20:54:05.4 ,H-coron (~1 hr),70.3283333333333,20.9015,b'HD  29697',04 41 18.5628,+20 54 05.447,13.2381,,pc,-0.01,0.01,paral,2018yCat.1345....0G,,,,,,,,6.665999889373779,5.309999942779541,4454,4.5,-0.03999999910593033,,b'SUN',,2004A&A...418..551M,K4V
103,HIP 21965 ,04:43:17.2 ,-23:37:41.9 ,H-coron (~1 hr),70.8216666666667,-23.628305555555603,b'HD  30051',04 43 17.2669,-23 37 42.250,67.5863,,pc,-1.5385,1.5385,paral,2018yCat.1345....0G,,,,,,,,,6.067999839782715,6619,,,,b'SUN',,2011A&A...530A.138C,F2/3IV/V
104,HIP 22192 ,04:46:25.7 ,-28:05:15.0 ,H-coron (~1 hr); H-coron-pol,71.6070833333333,-28.0875,b'V* EX Eri',04 46 25.7428,-28 05 14.805,57.4706,,pc,-0.1093,0.1093,paral,2018yCat.1345....0G,,,,,,,,,5.730000019073486,7798,,,,b'SUN',,2012A&A...537A.120Z,A3Vb_lB
105,HD 30447 ,04:46:49.5 ,-26:18:09.0 ,H-coron (~1 hr); H-coron-pol,71.70625,-26.3025,b'HD  30447',04 46 49.5727,-26 18 08.850,80.538,,pc,-0.2471,0.2471,paral,2018yCat.1345....0G,912000.0,,km,,,,2007ApJ...660.1556R,7.389999866485596,6.951000213623047,6795,,,,b'SUN',,2011A&A...530A.138C,F3V
106,IX Eri ,04:47:36.3 ,-16:56:04.0 ,H-coron (~1 hr),71.90125,-16.934444444444402,b'*  58 Eri',04 47 36.4503,-16 56 04.041,13.2413,,pc,-0.0139,0.0139,paral,2018yCat.1345....0G,,,,,,,,,4.116000175476074,5758,4.460000038146973,,,b'',,2003AJ....125.1598L,G2.5IV-V
107,HIP 22295,04:48:05.2,-80:46:45.5,H-coron (~1 hr); H-coron-pol,72.0216666666667,-80.7793055555556,b'HD  32195',04 48 05.5245,-80 46 45.261,62.7857,,pc,-0.1376,0.1376,paral,2018yCat.1345....0G,,,,,,,,7.540999889373779,6.991000175476074,6217,,,,b'SUN',,2011A&A...530A.138C,F7V
108,HIP 22506 ,04:50:35.4 ,-41:02:51.4 ,H-coron (~1 hr),72.6475,-41.0476111111111,b'HD  31026',04 50 35.4988,-41 02 50.837,50.8239,,pc,-0.1852,0.1852,paral,2018yCat.1345....0G,,,,,,,,8.057999610900879,7.098999977111816,5311,,,,b'SUN',,2011A&A...530A.138C,G9V
109,LP 776-25 ,04:52:24.4 ,-16:49:21.9 ,H-coron (~1 hr),73.1016666666667,-16.82275,b'LP  776-25',04 52 24.5635,-16 49 21.927,15.8328,,pc,-0.0126,0.0126,paral,2018yCat.1345....0G,,,,,,,,9.100000381469727,7.145999908447266,3412,,,,b'SUN',,2014MNRAS.443.2561G,M3.3V
110,HIP 22738 ,04:53:31.2 ,-55:51:37.1 ,H-coron (~1 hr),73.38,-55.8603055555556,b'CD-56  1032',04 53 31.4880,-55 51 37.117,11.11,,pc,-0.24,0.24,ST-L,2010MNRAS.403.1949K,,,,,,,,8.151000022888184,,0,,,,b'',,,M3Ve+M4Ve
111,HD 31392 ,04:54:04.2 ,-35:24:16.2 ,H-coron (~1 hr); H-coron-pol,73.5175,-35.4045,b'HD  31392',04 54 04.3877,-35 24 16.263,25.7652,,pc,-0.0198,0.0198,paral,2018yCat.1345....0G,,,,,,,,,5.88700008392334,5265,4.460000038146973,,,b'',,2003AJ....125.1598L,G9V
112,HIP 22844 ,04:54:53.0 ,-58:32:51.5 ,H-coron (~1 hr),73.7208333333333,-58.547638888888905,b'HD  31746',04 54 53.2618,-58 32 51.550,30.4679,,pc,-0.0278,0.0278,paral,2018yCat.1345....0G,,,,,,,,,5.131999969482422,6522,4.230000019073486,,,b'',,2003AJ....125.1598L,F5V
113,HIP 22845 ,04:54:53.7 ,10:09:04.0 ,H-coron (~1 hr); H-coron-pol,73.72375,10.1511111111111,b'* pi.01 Ori',04 54 53.7779,+10 09 02.995,34.2364,,pc,-0.6154,0.6154,paral,2018yCat.1345....0G,1160000.0,,km,,,,2007ApJ...660.1556R,,4.517000198364258,9226,,,,b'SUN',,2012A&A...537A.120Z,A0Va_lB
114,CD-57 1054 ,05:00:47.1 ,-57:15:25.4 ,H-coron (~1 hr),75.19625,-57.2570555555556,b'CD-57  1054',05 00 47.2059,-57 15 25.453,26.9008,,pc,-0.0203,0.0203,paral,2018yCat.1345....0G,,,,,,,,8.177000045776367,6.428999900817871,4048,,,,b'SUN',,2014MNRAS.443.2561G,M0Ve
115,HD 32372 ,05:00:51.8 ,-41:01:06.7 ,H-coron (~1 hr); H-coron-pol,75.21583333333331,-41.0185277777778,b'HD  32372',05 00 51.9161,-41 01 06.722,77.9672,,pc,-0.1477,0.1477,paral,2018yCat.1345....0G,,,,,,,,,7.859000205993652,6249,5.0,,D,b'',,2013AJ....146..134K,G5V
116,HD 32309 ,05:01:25.6 ,-20:03:06.9 ,H-coron (~1 hr),75.3566666666667,-20.0519166666667,b'HD  32309',05 01 25.6263,-20 03 06.905,60.4825,,pc,-0.6186,0.6186,paral,2018yCat.1345....0G,,,,,,,,,5.021999835968018,10910,,,,b'SUN',,1995A&AS..110..553S,B9V
117,HD 32297 ,05:02:27.4 ,07:27:39.9 ,H-coron (~1 hr); H-coron-pol,75.6141666666667,7.46108333333333,b'HD  32297',05 02 27.4425,+07 27 39.682,132.7915,,pc,-1.0563,1.0563,paral,2018yCat.1345....0G,863000.0,,km,,,,2007ApJ...660.1556R,,7.624000072479248,0,,,,b'',,,A0V
118,HIP 23554 ,05:03:53.3 ,-24:23:17.0 ,H-coron (~1 hr),75.9720833333333,-24.388055555555603,b'HD  32667',05 03 53.3038,-24 23 17.326,59.2793,,pc,-0.2913,0.2913,paral,2018yCat.1345....0G,,,,,,,,,5.401000022888184,8511,,,,b'SUN',,2012A&A...537A.120Z,A2IV
119,zet Dor ,05:05:30.7 ,-57:28:22.7 ,H-coron (~1 hr),76.37791666666669,-57.472972222222204,b'* zet Dor',05 05 30.5864,-57 28 21.728,11.6247,,pc,-0.0205,0.0205,paral,2018yCat.1345....0G,,,,,,,,,3.4070000648498535,6246,4.28000020980835,,,b'',,2003AJ....125.1598L,F9VFe-0.5
120,BD-21 1074 ,05:06:49.9 ,-21:35:09.2 ,H-coron (~1 hr),76.7079166666667,-21.5858888888889,b'BD-21  1074',05 06 49.92,-21 35 09.2,,,,,,,,,,,,,,,,,0,,,,b'',,,
121,HIP 24362 ,05:13:37.3 ,-32:04:01.8 ,H-coron (~1 hr),78.4054166666667,-32.0671666666667,b'HD  34104',05 13 37.2828,-32 04 01.650,86.1237,,pc,-0.2203,0.2203,paral,2018yCat.1345....0G,,,,,,,,,6.684000015258789,0,,,,b'',,,A4V
122,HIP 24947 ,05:20:38.0 ,-39:45:18.0 ,H-coron (~1 hr); H-coron-pol,80.1583333333333,-39.755,b'V* AS Col',05 20 38.1069,-39 45 17.794,47.6633,,pc,-0.0732,0.0732,paral,2018yCat.1345....0G,,,,,,,,6.809999942779541,6.2179999351501465,6299,,,,b'SUN',,2006A&A...450..735M,F6V
123,HIP 25127 ,05:22:42.7 ,13:13:45.1 ,H-coron (~1 hr),80.6779166666667,13.229194444444401,b'HD 243086',05 22 42.7320,+13 13 44.660,55.0925,,pc,-0.2197,0.2197,paral,2018yCat.1345....0G,,,,,,,,,7.504000186920166,0,,,,b'',,,G5
124,* 111 Tau ,05:24:25.4 ,17:23:00.7 ,H-coron (~1 hr); H-coron-pol,81.10583333333331,17.3835277777778,b'* 111 Tau',05 24 25.7695,+17 23 00.729,14.5852,,pc,-0.0371,0.0371,paral,2018yCat.1345....0G,,,,,,,,4.400000095367432,4.0289998054504395,6170,,,,b'SUN',,2011A&A...530A.138C,G1
125,HIP 25283 ,05:24:30.1 ,-38:58:10.2 ,H-coron (~1 hr),81.1254166666667,-38.9695,b'HD  35650',05 24 30.2344,-38 58 10.746,17.4793,,pc,-0.0086,0.0086,paral,2018yCat.1345....0G,,,,,,,,7.577000141143799,6.105000019073486,0,,,,b'',,,K6V
126,CD-43 1846 ,05:26:22.9 ,-43:22:36.4 ,H-coron (~1 hr); H-coron-pol,81.5954166666667,-43.3767777777778,b'CD-43  1846',05 26 23.0005,-43 22 36.279,92.4129,,pc,-0.263,0.263,paral,2018yCat.1345....0G,,,,,,,,,7.890999794006348,6014,3.890000104904175,,D,b'',,2013AJ....146..134K,G0
127,HD 35996 ,05:26:24.0 ,-43:22:32.7 ,H-coron (~1 hr); H-coron-pol,81.6,-43.37575,b'HD  35996',05 26 24.0513,-43 22 32.712,92.07,,pc,-0.2992,0.2992,paral,2018yCat.1345....0G,,,,,,,,,7.304999828338623,0,,,,b'',,,F3/5IV/V
128,HD 35841 ,05:26:36.6 ,-22:29:23.7 ,H-coron (~1 hr); H-coron-pol,81.6525,-22.489916666666698,b'HD  35841',05 26 36.6111,-22 29 23.733,103.6764,,pc,-0.3031,0.3031,paral,2018yCat.1345....0G,,,,,,,,,7.8420000076293945,0,,,,b'',,,F3V
129,AF Lep ,05:27:04.8 ,-11:54:03.5 ,H-coron (~1 hr),81.77,-11.9009722222222,b'V* AF Lep',05 27 04.7835,-11 54 03.466,26.8773,,pc,-0.0187,0.0187,paral,2018yCat.1345....0G,,,,,,,,,5.086999893188477,6131,4.369999885559082,,,b'',,2003AJ....125.1598L,F8V(n)k:
130,HIP 25544 ,05:27:39.4 ,-60:24:57.6 ,H-coron (~1 hr),81.9141666666667,-60.416000000000004,b'HD  36435',05 27 39.0015,-60 24 57.584,19.4778,,pc,-0.0115,0.0115,paral,2018yCat.1345....0G,,,,,,,,6.190999984741211,5.3420000076293945,5424,4.480000019073486,,,b'',,2003AJ....125.1598L,G5V
131,HIP 25627 ,05:28:28.0 ,-39:22:15.6 ,H-coron (~1 hr),82.1166666666667,-39.371,b'HD  36223',05 28 28.2066,-39 22 15.528,36.725,,pc,-0.0345,0.0345,paral,2018yCat.1345....0G,,,,,,,,,7.090000152587891,4848,4.519999980926514,,,b'',,2003AJ....125.1598L,K2+Vk:
132,HIP 25709 ,05:29:24.1 ,-34:30:56.0 ,H-coron (~1 hr),82.3504166666667,-34.5155555555556,b'HD  36329',05 29 24.1364,-34 30 55.513,72.4638,,pc,-0.1549,0.1549,paral,2018yCat.1345....0G,,,,,,,,8.470000267028809,7.065999984741211,5940,,,,b'SUN',,2006A&A...450..735M,G3V
133,HIP 25746 ,05:29:50.1 ,-47:04:34.7 ,H-coron (~1 hr),82.45875,-47.0763055555556,b'HD  36520',05 29 50.1901,-47 04 34.803,51.5243,,pc,-0.0823,0.0823,paral,2018yCat.1345....0G,,,,,,,,,5.853000164031982,6887,,,,b'SUN',,2011A&A...530A.138C,F2V
134,TYC 5916-792-1,05:34:09.2 ,-15:17:03.2 ,H-coron (~1 hr),83.5383333333333,-15.2842222222222,b'V* AH Lep',05 34 09.1922,-15 17 03.184,57.9096,,pc,-0.1234,0.1234,paral,2018yCat.1345....0G,,,,,,,,7.64900016784668,6.974999904632568,5792,,,,b'SUN',,2011A&A...530A.138C,G2V
135,TYC 8090-1489-1,05:36:55.0 ,-47:57:47.9 ,H-coron (~1 hr),84.2291666666667,-47.9633055555556,b'CD-48  1893',05 36 55.1461,-47 57 47.952,24.64,,pc,-0.014,0.014,paral,2018yCat.1345....0G,,,,,,,,8.380999565124512,6.829999923706055,0,,,,b'',,,K6Ve
136,HIP 26395 ,05:37:08.8 ,-11:46:31.7 ,H-coron (~1 hr); H-coron-pol,84.2866666666667,-11.775472222222199,b'HD  37306',05 37 08.7962,-11 46 31.852,70.4622,,pc,-0.3942,0.3942,paral,2018yCat.1345....0G,,,,,,,,,5.992000102996826,9118,,,,b'SUN',,2006A&A...458..293P,A1V
137,TYC 7604-1675-1,05:37:13.2 ,-42:42:57.3 ,H-coron (~1 hr),84.305,-42.7159166666667,b'HD  37551B',05 37 13.2607,-42 42 57.369,80.4842,,pc,-0.1522,0.1522,paral,2018yCat.1345....0G,,,,,,,,,7.929999828338623,0,,,,b'',,,K1V
138,HIP 26412 ,05:37:16.5 ,-27:52:16.3 ,H-coron (~1 hr),84.31875,-27.8711944444444,b'* nu.01 Col',05 37 16.4984,-27 52 17.284,44.3801,,pc,-0.1266,0.1266,paral,2018yCat.1345....0G,,,,,,,,,5.2789998054504395,7015,,,,b'SUN',,2012A&A...537A.120Z,F0IV
139,HD 37484 ,05:37:39.6 ,-28:37:34.7 ,H-coron (~1 hr); H-coron-pol,84.415,-28.6263055555556,b'HD  37484',05 37 39.6590,-28 37 34.655,59.1139,,pc,-0.0832,0.0832,paral,2018yCat.1345....0G,947000.0,,km,,,,2007ApJ...660.1556R,6.789999961853027,6.288000106811523,6744,,,,b'SUN',,2011A&A...530A.138C,F4V
140,HD 37478 ,05:39:17.1 ,10:15:35.4 ,H-coron (~1 hr),84.82125,10.259833333333301,b'HD  37478',05 39 17.1939,+10 15 35.485,,,,,,,,,,,,,,,,,0,,,,b'',,,F8
141,HIP 26990 ,05:43:35.8 ,-39:55:25.0 ,H-coron (~1 hr); H-coron-pol,85.8991666666667,-39.9236111111111,b'HD  38397',05 43 35.8475,-39 55 24.720,53.8112,,pc,-0.0851,0.0851,paral,2018yCat.1345....0G,,,,,,,,7.486000061035156,6.84499979019165,6049,,,,b'SUN',,2011A&A...530A.138C,G0V
142,HIP 27134 ,05:45:13.4 ,-59:55:26.0 ,H-coron (~1 hr),86.3058333333333,-59.923888888888904,b'V* XZ Pic',05 45 13.3531,-59 55 25.618,47.8721,,pc,-0.0578,0.0578,paral,2018yCat.1345....0G,,,,,,,,8.26099967956543,7.156000137329102,0,,,,b'',,,K0V(e)
143,HIP 27288 ,05:46:57.3 ,-14:49:19.0 ,H-coron (~1 hr); H-coron-pol,86.73875,-14.821944444444402,b'* zet Lep',05 46 57.3234,-14 49 19.019,21.8737,,pc,-0.1993,0.1993,paral,2018yCat.1345....0G,1150000.0,,km,,,,2007ApJ...660.1556R,,3.313999891281128,8337,4.03000020980835,,,b'',,2003AJ....125.1598L,A2IV-V(n)
144,beta Pic ,05:47:17.1 ,-51:04:00.2 ,H-coron (~1 hr); H-coron-pol,86.82125,-51.066722222222204,b'* bet Pic',05 47 17.0963,-51 03 59.441,19.7538,,pc,-0.1302,0.1302,paral,2018yCat.1345....0G,954000.0,,km,,,,2007ApJ...660.1556R,3.5799999237060547,3.509999990463257,8052,4.150000095367432,,,b'',,2003AJ....125.1598L,A6V
145,HIP 27371 ,05:47:49.5 ,-40:03:50.0 ,H-coron (~1 hr),86.95625,-40.0638888888889,b'HD  39012',05 47 49.4543,-40 03 49.211,47.1333,,pc,-0.3435,0.3435,paral,2018yCat.1345....0G,,,,,,,,,7.091000080108643,5458,,,,b'SUN',,2011A&A...530A.138C,G7V
146,HIP 27441 ,05:48:36.8 ,-39:55:55.0 ,H-coron (~1 hr),87.15333333333331,-39.9319444444444,b'HD  39126',05 48 36.8557,-39 55 55.267,42.5393,,pc,-0.0518,0.0518,paral,2018yCat.1345....0G,,,,,,,,,7.060999870300293,5260,,,,b'SUN',,2011A&A...530A.138C,K0V
147,HD 40781 ,05:59:13.3 ,-38:42:38.0 ,H-coron (~1 hr),89.8054166666667,-38.7105555555556,b'HD  40781',05 59 13.3470,-38 42 37.913,64.1869,,pc,-0.7148,0.7148,paral,2018yCat.1345....0G,,,,,,,,,7.015999794006348,5959,,,,b'SUN',,2006A&A...450..735M,G0V
148,HIP 28498 ,06:00:55.3 ,-54:57:05.0 ,H-coron (~1 hr),90.2304166666667,-54.9513888888889,b'HD  41278',06 00 55.3973,-54 57 04.827,57.2007,,pc,-0.0831,0.0831,paral,2018yCat.1345....0G,,,,,,,,,6.357999801635742,6525,,,,b'SUN',,2011A&A...530A.138C,F5V
149,HIP 28869 ,06:05:42.1 ,-61:44:55.0 ,H-coron (~1 hr),91.42541666666669,-61.748611111111096,b'HD  42287',06 05 41.8891,-61 44 54.892,47.9182,,pc,-0.0723,0.0723,paral,2018yCat.1345....0G,,,,,,,,,6.535999774932861,6125,,,,b'SUN',,2011A&A...530A.138C,G0V
150,HIP 28921 ,06:06:16.6 ,-27:54:21.2 ,H-coron (~1 hr),91.5691666666667,-27.9058888888889,b'HD  41842',06 06 16.5937,-27 54 20.982,35.7359,,pc,-0.0375,0.0375,paral,2018yCat.1345....0G,,,,,,,,,6.9019999504089355,4983,4.619999885559082,,,b'',,2003AJ....125.1598L,K1V
151,CD-35 2722 ,06:09:19.2 ,-35:49:31.1 ,H-coron (~1 hr),92.33,-35.8253055555556,b'CD-35  2722',06 09 19.2029,-35 49 31.062,22.4041,,pc,-0.0131,0.0131,paral,2018yCat.1345....0G,,,,,,,,9.336999893188477,7.28000020980835,3652,,,,b'SUN',,2014MNRAS.443.2561G,M1Ve
152,V352 CMa ,06:13:45.3 ,-23:51:43.0 ,H-coron (~1 hr),93.43875,-23.861944444444397,b'HD  43162',06 13 45.2346,-23 51 42.968,16.7331,,pc,-0.0068,0.0068,paral,2018yCat.1345....0G,,,,,,,,5.610000133514404,4.86299991607666,5571,4.489999771118164,,,b'',,2003AJ....125.1598L,G6.5V
153,HIP 29711 ,06:15:29.7 ,-04:54:52.7 ,H-coron (~1 hr),93.87375,-4.91463888888889,b'HD  43319',06 15 29.7001,-04 54 52.984,73.2805,,pc,-0.4457,0.4457,paral,2018yCat.1345....0G,,,,,,,,,,8729,,,,b'SUN',,2006A&A...458..293P,A3Vas
154,HD 43976 ,06:15:38.8 ,-57:42:05.5 ,H-coron (~1 hr),93.9116666666667,-57.7015277777778,b'HD  43976',06 15 38.9358,-57 42 05.585,63.1884,,pc,-0.087,0.087,paral,2018yCat.1345....0G,,,,,,,,,7.447000026702881,5933,,,,b'SUN',,2011A&A...530A.138C,G2V
155,V* AO Men ,06:18:28.2 ,-72:02:41.4 ,H-coron (~1 hr),94.6175,-72.0448333333333,b'V* AO Men',06 18 28.1785,-72 02 41.446,39.2626,,pc,-0.0392,0.0392,paral,2018yCat.1345....0G,,,,,,,,8.456000328063965,6.984000205993652,4260,,,,b'SUN',,2014ApJ...792...37M,K4Ve
156,V1358 Ori ,06:19:08.0 ,-03:26:20.0 ,H-coron (~1 hr); H-coron-pol,94.7833333333333,-3.43888888888889,b'V* V1358 Ori',06 19 08.0700,-03 26 20.358,52.0124,,pc,-0.148,0.148,paral,2018yCat.1345....0G,,,,,,,,,6.591000080108643,0,,,,b'',,,G0V
